Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.28     0.00     2474     0.00     0.00  tpower_bay::bg_calc()
  0.00      0.28     0.00     2346     0.00     3.13  print_str_hazey
  0.00      0.28     0.00     2031     0.00     0.00  alloc_mem
  0.00      0.28     0.00     1323     0.00     2.61  tlaser::bg_calc()
  0.00      0.28     0.00     1018     0.00     2.41  tlaser::colision_detect()
  0.00      0.28     0.00      992     0.00     0.00  tlaser::colision_doors()
  0.00      0.28     0.00      992     0.00     2.47  tlaser::colision_droids()
  0.00      0.28     0.00      962     0.00     5.76  display_scores_fg()
  0.00      0.28     0.00      588     0.00     0.00  blit_line
  0.00      0.28     0.00      440     0.00     9.43  main_logo_fg()
  0.00      0.28     0.00      427     0.00     0.00  tdroid_719::move()
  0.00      0.28     0.00      427     0.00     0.11  tdroid_719::bg_calc()
  0.00      0.28     0.00      419     0.00     0.00  tdroid_719::detect_avoid_condition()
  0.00      0.28     0.00      321     0.00     7.16  credit_8_fg()
  0.00      0.28     0.00      321     0.00     7.16  contacts_1_fg()
  0.00      0.28     0.00      321     0.00    21.42  contacts_2_fg()
  0.00      0.28     0.00      321     0.00     0.03  contacts_4_fg()
  0.00      0.28     0.00      321     0.00     0.64  tship::get_ready_draw()
  0.00      0.28     0.00      296     0.00     0.00  blit_rect_hollow
  0.00      0.28     0.00      293     0.00    12.56  credit_7_fg()
  0.00      0.28     0.00      291     0.00     0.00  read_ogg_file
  0.00      0.28     0.00      236     0.00     0.57  display_final_score()
  0.00      0.28     0.00      236     0.00     1.69  game_term_draw()
  0.00      0.28     0.00      234     0.00     0.00  convert_2_tex
  0.00      0.28     0.00      222     0.00    38.32  sound_cmd
  0.00      0.28     0.00      217     0.00     0.00  tentity::do_sound(int, float, float)
  0.00      0.28     0.00      194     0.00     0.00  tdroid_108::append_cmd(int, int, int)
  0.00      0.28     0.00      182     0.00     0.00  put_kb_event
  0.00      0.28     0.00      173     0.00    20.92  tparadroid::action(tkevent*)
  0.00      0.28     0.00      162     0.00     0.95  tship::get_ready_calc()
  0.00      0.28     0.00      149     0.00     0.00  strncpy2
  0.00      0.28     0.00      147     0.00     3.13  credit_2_fg()
  0.00      0.28     0.00      147     0.00     0.00  credit_6_fg()
  0.00      0.28     0.00      146     0.00     3.13  credit_1_fg()
  0.00      0.28     0.00      141     0.00     0.00  tentity::init(tfloor*, bm_t*, tentity**, int, float, float)
  0.00      0.28     0.00      137     0.00     0.00  tentity::tentity()
  0.00      0.28     0.00      136     0.00     0.00  tentity::~tentity()
  0.00      0.28     0.00      134     0.00     0.00  tdroid::draw_droid_ls(int, int)
  0.00      0.28     0.00      133     0.00    14.51  tship::diagram_draw()
  0.00      0.28     0.00      121     0.00     0.00  tlaser3::init(tfloor*, tentity**, float, float, int, int, tentity*)
  0.00      0.28     0.00      106     0.00     0.00  concat_filepaths
  0.00      0.28     0.00      104     0.00     0.00  atan3f
  0.00      0.28     0.00      102     0.00     0.00  game_noise_draw()
  0.00      0.28     0.00       96     0.00     0.00  tdroid_606::target_not_hidden(tentity*)
  0.00      0.28     0.00       96     0.00     0.00  console_message_add
  0.00      0.28     0.00       90     0.00    38.32  tdroid::create_laser(int, int)
  0.00      0.28     0.00       90     0.00     0.00  tlaser::init(tfloor*, tentity**, float, float, int, int, tentity*)
  0.00      0.28     0.00       88     0.00     0.00  rel_to_abs_filepath
  0.00      0.28     0.00       82     0.00     0.00  tlaser1::init(tfloor*, tentity**, float, float, int, int, tentity*)
  0.00      0.28     0.00       82     0.00     0.00  tlaser1::tlaser1()
  0.00      0.28     0.00       81     0.00     0.00  tlaser1::~tlaser1()
  0.00      0.28     0.00       68     0.00    14.25  game_cont_draw()
  0.00      0.28     0.00       64     0.00    38.32  tdroid::hit(tlaser*)
  0.00      0.28     0.00       47     0.00     0.00  tdroid::tdroid()
  0.00      0.28     0.00       46     0.00     0.00  tentity::open_door(tdoor*)
  0.00      0.28     0.00       45     0.00     0.00  tdroid_108::init_cmds()
  0.00      0.28     0.00       45     0.00     0.00  tdroid_108::tdroid_108()
  0.00      0.28     0.00       45     0.00     0.00  tdroid_108::~tdroid_108()
  0.00      0.28     0.00       45     0.00     0.00  tdroid::init(tfloor*, tentity**, float, float)
  0.00      0.28     0.00       43     0.00     0.00  load_xpm
  0.00      0.28     0.00       41     0.00     0.00  strip_leading_whitespace
  0.00      0.28     0.00       35     0.00     0.00  load_bm
  0.00      0.28     0.00       34     0.00     0.00  tdoor::open()
  0.00      0.28     0.00       34     0.00     0.00  load_fx_sub
  0.00      0.28     0.00       30     0.00    18.85  fleet_select_draw()
  0.00      0.28     0.00       30     0.00     0.00  blit_bm_scale
  0.00      0.28     0.00       28     0.00     0.00  tpower_bay::tpower_bay()
  0.00      0.28     0.00       28     0.00     0.00  realloc_mem
  0.00      0.28     0.00       24     0.00     0.00  tdroid_513::tdroid_513()
  0.00      0.28     0.00       24     0.00     0.00  tdoor::init(int, int, int)
  0.00      0.28     0.00       24     0.00     0.00  tdoor::tdoor()
  0.00      0.28     0.00       22     0.00     0.00  tdroid_606::tdroid_606()
  0.00      0.28     0.00       21     0.00    40.14  sound_cmd_primary
  0.00      0.28     0.00       19     0.00     0.00  calc_norm_accel
  0.00      0.28     0.00       16     0.00     0.00  tdroid::display_nd()
  0.00      0.28     0.00       15     0.00     0.00  tship::create_transport(char*, int, int, int, int, int)
  0.00      0.28     0.00       13     0.00     0.00  rel_to_abs_filepath_fleet
  0.00      0.28     0.00       12     0.00     0.00  tdroid_606::~tdroid_606()
  0.00      0.28     0.00       11     0.00     0.00  load_bm_png
  0.00      0.28     0.00       11     0.00     0.00  load_png
  0.00      0.28     0.00       11     0.00    38.32  sound_cmd_simple
  0.00      0.28     0.00       10     0.00     0.00  tship::create_floor(char*)
  0.00      0.28     0.00       10     0.00     0.00  tfloor::load_floor_map(char*)
  0.00      0.28     0.00       10     0.00     0.00  tfloor::load_floor_misc(char*)
  0.00      0.28     0.00       10     0.00     0.00  tfloor::load(char*, char*)
  0.00      0.28     0.00       10     0.00     0.00  tfloor::unload()
  0.00      0.28     0.00       10     0.00     0.00  tfloor::tfloor()
  0.00      0.28     0.00        7     0.00     0.00  tdroid_719::tdroid_719()
  0.00      0.28     0.00        7     0.00     0.00  tlaser2::init(tfloor*, tentity**, float, float, int, int, tentity*)
  0.00      0.28     0.00        7     0.00     0.00  tlaser2::tlaser2()
  0.00      0.28     0.00        7     0.00     0.00  tlaser2::~tlaser2()
  0.00      0.28     0.00        7     0.00     0.00  load_bm_ani
  0.00      0.28     0.00        6     0.00     0.00  tdroid_108::~tdroid_108()
  0.00      0.28     0.00        6     0.00     0.00  tparadroid::init(tfloor*, tentity**, float, float)
  0.00      0.28     0.00        6     0.00     0.00  tship::set_ship_noise()
  0.00      0.28     0.00        6     0.00    38.32  sound_cmd_snoise
  0.00      0.28     0.00        5     0.00     0.00  tdroid_719::~tdroid_719()
  0.00      0.28     0.00        5     0.00     0.00  lclose
  0.00      0.28     0.00        5     0.00     0.00  lopen
  0.00      0.28     0.00        4     0.00     0.00  tparadroid::capture_droid(int, int)
  0.00      0.28     0.00        4     0.00     0.00  tpower_bay::init(int, int)
  0.00      0.28     0.00        4     0.00     0.00  tship::transport_set()
  0.00      0.28     0.00        4     0.00     0.00  tfloor::reinit()
  0.00      0.28     0.00        4     0.00     0.00  ramp_colour
  0.00      0.28     0.00        3     0.00     0.00  tdroid_261::tdroid_261()
  0.00      0.28     0.00        3     0.00     0.00  tdroid_261::~tdroid_261()
  0.00      0.28     0.00        3     0.00     0.00  tdroid_275::tdroid_275()
  0.00      0.28     0.00        3     0.00     0.00  tdroid_275::~tdroid_275()
  0.00      0.28     0.00        3     0.00     0.00  tdroid_355::tdroid_355()
  0.00      0.28     0.00        3     0.00     0.00  tdroid_355::~tdroid_355()
  0.00      0.28     0.00        3     0.00     0.00  tdroid_423::tdroid_423()
  0.00      0.28     0.00        3     0.00     0.00  tdroid_423::~tdroid_423()
  0.00      0.28     0.00        3     0.00     0.00  tdroid_805::tdroid_805()
  0.00      0.28     0.00        3     0.00     0.00  tship::transport_change_up()
  0.00      0.28     0.00        2     0.00     0.00  intro_start_reinit()
  0.00      0.28     0.00        2     0.00     0.00  delete_ship()
  0.00      0.28     0.00        2     0.00    38.32  game_ship_start()
  0.00      0.28     0.00        2     0.00     0.00  tdroid_176::tdroid_176()
  0.00      0.28     0.00        2     0.00     0.00  tdroid_176::~tdroid_176()
  0.00      0.28     0.00        2     0.00     0.00  tdroid_513::~tdroid_513()
  0.00      0.28     0.00        2     0.00     0.00  tdroid_899::tdroid_899()
  0.00      0.28     0.00        2     0.00     0.00  tdroid_899::~tdroid_899()
  0.00      0.28     0.00        2     0.00     0.00  tparadroid::display_nd()
  0.00      0.28     0.00        2     0.00     0.00  tparadroid::tparadroid()
  0.00      0.28     0.00        2     0.00     0.00  tparadroid::~tparadroid()
  0.00      0.28     0.00        2     0.00     0.00  tship::find_transport(char*, int, int)
  0.00      0.28     0.00        2     0.00     0.00  tship::free_all_floor()
  0.00      0.28     0.00        2     0.00     0.00  tship::transport_change_dn()
  0.00      0.28     0.00        2     0.00     0.00  tship::load(char const*)
  0.00      0.28     0.00        2     0.00     0.00  tship::unload()
  0.00      0.28     0.00        2     0.00     0.00  tship::tship()
  0.00      0.28     0.00        2     0.00     0.00  delete_tex
  0.00      0.28     0.00        2     0.00     0.00  load_scores
  0.00      0.28     0.00        2     0.00     0.00  stop_music
  0.00      0.28     0.00        1     0.00     0.00  intro_start_init()
  0.00      0.28     0.00        1     0.00     0.00  fleet_select_init()
  0.00      0.28     0.00        1     0.00    38.32  game_ship_start_init()
  0.00      0.28     0.00        1     0.00     0.00  reset_game()
  0.00      0.28     0.00        1     0.00     0.00  tdroid_489::tdroid_489()
  0.00      0.28     0.00        1     0.00     0.00  tdroid_489::~tdroid_489()
  0.00      0.28     0.00        1     0.00     0.00  tdroid_720::tdroid_720()
  0.00      0.28     0.00        1     0.00     0.00  tdroid_720::~tdroid_720()
  0.00      0.28     0.00        1     0.00     0.00  tdroid_810::tdroid_810()
  0.00      0.28     0.00        1     0.00     0.00  tdroid_810::~tdroid_810()
  0.00      0.28     0.00        1     0.00     0.00  tdroid_933::tdroid_933()
  0.00      0.28     0.00        1     0.00     0.00  tdroid_933::~tdroid_933()
  0.00      0.28     0.00        1     0.00    38.32  tparadroid::hit(tlaser*)
  0.00      0.28     0.00        1     0.00     0.00  tship::setup_flash_screen(float, float, float, float)
  0.00      0.28     0.00        1     0.00     0.00  tlaser0::init(tfloor*, tentity**, float, float, int, int, tentity*)
  0.00      0.28     0.00        1     0.00     0.00  tlaser0::tlaser0()
  0.00      0.28     0.00        1     0.00     0.00  tlaser0::~tlaser0()
  0.00      0.28     0.00        1     0.00     0.00  create_filepaths
  0.00      0.28     0.00        1     0.00     0.00  dump_scores
  0.00      0.28     0.00        1     0.00     0.00  end_game
  0.00      0.28     0.00        1     0.00     0.00  free_ship_table
  0.00      0.28     0.00        1     0.00     0.00  free_textures
  0.00      0.28     0.00        1     0.00     0.00  get_score_time
  0.00      0.28     0.00        1     0.00     0.00  get_score_username
  0.00      0.28     0.00        1     0.00     0.00  init_background_timer
  0.00      0.28     0.00        1     0.00     0.00  init_kb_event
  0.00      0.28     0.00        1     0.00     0.00  init_scores
  0.00      0.28     0.00        1     0.00     0.00  init_sound
  0.00      0.28     0.00        1     0.00     0.00  load_fleet_logos
  0.00      0.28     0.00        1     0.00     0.00  load_fleet_table
  0.00      0.28     0.00        1     0.00     0.00  load_flr_xpms
  0.00      0.28     0.00        1     0.00     0.00  load_font
  0.00      0.28     0.00        1     0.00     0.00  load_preserved_session
  0.00      0.28     0.00        1     0.00     0.00  load_ship_table
  0.00      0.28     0.00        1     0.00     0.00  load_sprite_xpms
  0.00      0.28     0.00        1     0.00     0.00  opengl_init
  0.00      0.28     0.00        1     0.00     0.00  play_music
  0.00      0.28     0.00        1     0.00     0.00  preserve_session
  0.00      0.28     0.00        1     0.00     0.00  save_scores
  0.00      0.28     0.00        1     0.00     0.00  shake_reset
  0.00      0.28     0.00        1     0.00     0.00  shutdown_sound
  0.00      0.28     0.00        1     0.00     0.00  test_mouse_pos

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 3.57% of 0.28 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     87.3    0.01    0.23                 draw_h [1]
                0.00    0.13    8536/8536        intro_draw() [2]
                0.00    0.10    5568/5568        game_run_draw() [4]
                0.00    0.00      68/68          game_cont_draw() [41]
                0.00    0.00      30/30          fleet_select_draw() [48]
                0.00    0.00     236/236         game_term_draw() [52]
                0.00    0.00       2/2           game_ship_start() [58]
                0.00    0.00       1/11          sound_cmd_simple [51]
                0.00    0.00     102/102         game_noise_draw() [183]
-----------------------------------------------
                0.00    0.13    8536/8536        draw_h [1]
[2]     48.2    0.00    0.13    8536         intro_draw() [2]
                0.02    0.08    5012/5012        draw_scroll_fg() [3]
                0.01    0.00    1577/3680        display_message [12]
                0.00    0.01     321/321         contacts_2_fg() [21]
                0.00    0.01     962/962         display_scores_fg() [23]
                0.00    0.00     293/293         credit_7_fg() [27]
                0.00    0.00     321/321         contacts_1_fg() [37]
                0.00    0.00     321/321         credit_8_fg() [36]
                0.00    0.00     147/440         main_logo_fg() [26]
                0.00    0.00     440/2346        print_str_hazey [20]
                0.00    0.00     147/147         credit_2_fg() [49]
                0.00    0.00     146/146         credit_1_fg() [50]
                0.00    0.00       1/1           game_ship_start_init() [62]
                0.00    0.00     321/321         contacts_4_fg() [65]
                0.00    0.00    8536/14613       get_kb_event [67]
                0.00    0.00     147/147         credit_6_fg() [177]
-----------------------------------------------
                0.02    0.08    5012/5012        intro_draw() [2]
[3]     35.4    0.02    0.08    5012         draw_scroll_fg() [3]
                0.03    0.05   57689/57749       print_str_len [8]
-----------------------------------------------
                0.00    0.10    5568/5568        draw_h [1]
[4]     34.8    0.00    0.10    5568         game_run_draw() [4]
                0.00    0.09    5568/5568        tship::level_run() [5]
                0.00    0.00    5568/5568        tship::level_check_event() [25]
                0.00    0.00       1/11          sound_cmd_simple [51]
                0.00    0.00       2/2           delete_ship() [233]
                0.00    0.00       1/1           preserve_session [119]
-----------------------------------------------
                0.00    0.09    5568/5568        game_run_draw() [4]
[5]     33.3    0.00    0.09    5568         tship::level_run() [5]
                0.02    0.07    5112/5112        tship::play_draw() [6]
                0.00    0.00     133/133         tship::diagram_draw() [38]
                0.00    0.00     321/321         tship::get_ready_draw() [55]
                0.00    0.00      10/73935       blit_rect [66]
-----------------------------------------------
                0.02    0.07    5112/5112        tship::level_run() [5]
[6]     32.5    0.02    0.07    5112         tship::play_draw() [6]
                0.00    0.03    5112/5112        tship::print_info() [9]
                0.01    0.02    5112/5112        tfloor::draw() [11]
                0.00    0.01    5112/5112        tparadroid::draw() [16]
                0.00    0.00   17598/22621       tdroid::draw_droid(int, int) [32]
                0.00    0.00   73625/73625       tdroid::draw(tfloor*, int, int) [64]
                0.00    0.00     328/595715      blit_bm [15]
                0.00    0.00   78737/78737       tdroid::snap_shot() [157]
                0.00    0.00    5112/5112        tfloor::set_pos(int, int) [168]
                0.00    0.00     588/73935       blit_rect [66]
-----------------------------------------------
                0.00    0.00   41960/3369413     tship::print_score() [40]
                0.01    0.00  262240/3369413     display_message [12]
                0.01    0.00  309395/3369413     print_str_hazey [20]
                0.02    0.00  678954/3369413     print_str [13]
                0.05    0.00 2076864/3369413     print_str_len [8]
[7]     28.6    0.08    0.00 3369413         blit_bm_font [7]
-----------------------------------------------
                0.00    0.00      60/57749       fleet_select_draw() [48]
                0.03    0.05   57689/57749       draw_scroll_fg() [3]
[8]     28.3    0.03    0.05   57749         print_str_len [8]
                0.05    0.00 2076864/3369413     blit_bm_font [7]
-----------------------------------------------
                0.00    0.03    5112/5112        tship::play_draw() [6]
[9]     11.2    0.00    0.03    5112         tship::print_info() [9]
                0.01    0.01    5112/5112        console_message_display [14]
                0.00    0.00   10224/45871       print_str [13]
                0.00    0.00    5112/5245        tship::print_score() [40]
                0.00    0.00    5313/595715      blit_bm [15]
                0.00    0.00    5112/5245        tship::draw_ntitle() [167]
-----------------------------------------------
                                                 <spontaneous>
[10]    10.7    0.03    0.00                 sound_process_fg [10]
                0.00    0.00     287/291         read_ogg_file [74]
                0.00    0.00       2/2           stop_music [98]
                0.00    0.00       1/1           play_music [118]
                0.00    0.00       1/34          load_fx_sub [85]
-----------------------------------------------
                0.01    0.02    5112/5112        tship::play_draw() [6]
[11]     9.5    0.01    0.02    5112         tfloor::draw() [11]
                0.02    0.00  491684/595715      blit_bm [15]
                0.00    0.00   26545/26545       tpower_bay::draw(int, int) [160]
-----------------------------------------------
                0.00    0.00      36/3680        game_term_draw() [52]
                0.00    0.00      60/3680        fleet_select_draw() [48]
                0.00    0.00     136/3680        game_cont_draw() [41]
                0.00    0.00     266/3680        tship::diagram_draw() [38]
                0.00    0.00     321/3680        contacts_1_fg() [37]
                0.00    0.00     321/3680        credit_8_fg() [36]
                0.01    0.00     963/3680        contacts_2_fg() [21]
                0.01    0.00    1577/3680        intro_draw() [2]
[12]     9.4    0.02    0.01    3680         display_message [12]
                0.01    0.00  262240/3369413     blit_bm_font [7]
-----------------------------------------------
                0.00    0.00      30/45871       fleet_select_draw() [48]
                0.00    0.00     236/45871       display_final_score() [57]
                0.00    0.00     321/45871       tship::get_ready_draw() [55]
                0.00    0.00    9620/45871       display_scores_fg() [23]
                0.00    0.00   10224/45871       tship::print_info() [9]
                0.01    0.01   25440/45871       console_message_display [14]
[13]     9.3    0.01    0.02   45871         print_str [13]
                0.02    0.00  678954/3369413     blit_bm_font [7]
-----------------------------------------------
                0.01    0.01    5112/5112        tship::print_info() [9]
[14]     8.7    0.01    0.01    5112         console_message_display [14]
                0.01    0.01   25440/45871       print_str [13]
-----------------------------------------------
                0.00    0.00      94/595715      tdroid::draw(tfloor*, int, int) [64]
                0.00    0.00     236/595715      game_term_draw() [52]
                0.00    0.00     266/595715      tship::diagram_draw() [38]
                0.00    0.00     321/595715      contacts_4_fg() [65]
                0.00    0.00     321/595715      contacts_2_fg() [21]
                0.00    0.00     321/595715      contacts_1_fg() [37]
                0.00    0.00     321/595715      credit_8_fg() [36]
                0.00    0.00     328/595715      tship::play_draw() [6]
                0.00    0.00     440/595715      main_logo_fg() [26]
                0.00    0.00     515/595715      tdroid::draw_laser(tfloor*, int, int) [17]
                0.00    0.00     588/595715      tparadroid::draw() [16]
                0.00    0.00     642/595715      tship::get_ready_draw() [55]
                0.00    0.00    1917/595715      tlaser::draw(tfloor*, int, int) [59]
                0.00    0.00    1924/595715      display_scores_fg() [23]
                0.00    0.00    5313/595715      tship::print_info() [9]
                0.00    0.00   90484/595715      tdroid::draw_droid(int, int) [32]
                0.02    0.00  491684/595715      tfloor::draw() [11]
[15]     7.1    0.02    0.00  595715         blit_bm [15]
-----------------------------------------------
                0.00    0.01    5112/5112        tship::play_draw() [6]
[16]     3.8    0.00    0.01    5112         tparadroid::draw() [16]
                0.01    0.00    5112/5112        tdroid::draw_laser(tfloor*, int, int) [17]
                0.00    0.00    5023/22621       tdroid::draw_droid(int, int) [32]
                0.00    0.00     588/595715      blit_bm [15]
                0.00    0.00    7388/73935       blit_rect [66]
                0.00    0.00     588/588         blit_line [72]
-----------------------------------------------
                0.01    0.00    5112/5112        tparadroid::draw() [16]
[17]     3.6    0.01    0.00    5112         tdroid::draw_laser(tfloor*, int, int) [17]
                0.00    0.00    2177/2526        tlaser::draw(tfloor*, int, int) [59]
                0.00    0.00     515/595715      blit_bm [15]
-----------------------------------------------
                0.00    0.00       6/261         sound_cmd_snoise [54]
                0.00    0.00      11/261         sound_cmd_simple [51]
                0.00    0.00      22/261         sound_cmd_primary [46]
                0.01    0.00     222/261         sound_cmd [19]
[18]     3.6    0.01    0.00     261         put_snd_event [18]
-----------------------------------------------
                0.00    0.00       1/222         tship::level_check_event() [25]
                0.00    0.00       2/222         tdroid_606::attack() [53]
                0.00    0.00       2/222         tship::get_ready_calc() [56]
                0.00    0.00       5/222         tship::level_bg_calc() [24]
                0.00    0.00       8/222         tparadroid::bg_calc() [47]
                0.00    0.00      24/222         tentity::colision_doors() [45]
                0.00    0.00      26/222         tlaser::bg_calc() [30]
                0.00    0.00      64/222         tdroid::hit(tlaser*) [35]
                0.00    0.00      90/222         tdroid::create_laser(int, int) [31]
[19]     3.0    0.00    0.01     222         sound_cmd [19]
                0.01    0.00     222/261         put_snd_event [18]
-----------------------------------------------
                0.00    0.00     146/2346        credit_1_fg() [50]
                0.00    0.00     147/2346        credit_2_fg() [49]
                0.00    0.00     293/2346        credit_7_fg() [27]
                0.00    0.00     440/2346        intro_draw() [2]
                0.00    0.00    1320/2346        main_logo_fg() [26]
[20]     2.6    0.00    0.01    2346         print_str_hazey [20]
                0.01    0.00  309395/3369413     blit_bm_font [7]
-----------------------------------------------
                0.00    0.01     321/321         intro_draw() [2]
[21]     2.5    0.00    0.01     321         contacts_2_fg() [21]
                0.01    0.00     963/3680        display_message [12]
                0.00    0.00     321/595715      blit_bm [15]
-----------------------------------------------
                                                 <spontaneous>
[22]     2.0    0.00    0.01                 game_run_calc() [22]
                0.00    0.01    2808/2808        tship::level_bg_calc() [24]
                0.00    0.00       6/21          sound_cmd_primary [46]
                0.00    0.00     162/162         tship::get_ready_calc() [56]
                0.00    0.00    2808/2808        shake_calc [69]
-----------------------------------------------
                0.00    0.01     962/962         intro_draw() [2]
[23]     2.0    0.00    0.01     962         display_scores_fg() [23]
                0.00    0.00    9620/45871       print_str [13]
                0.00    0.00    1924/595715      blit_bm [15]
-----------------------------------------------
                0.00    0.01    2808/2808        game_run_calc() [22]
[24]     1.9    0.00    0.01    2808         tship::level_bg_calc() [24]
                0.00    0.00   25841/39707       tdroid::bg_calc_laser() [29]
                0.00    0.00   10861/10861       tdroid_513::bg_calc() [39]
                0.00    0.00   25841/39707       tdroid::bg_calc() [42]
                0.00    0.00    2578/2578        tparadroid::bg_calc() [47]
                0.00    0.00    6071/6071        tdroid_606::attack() [53]
                0.00    0.00       5/222         sound_cmd [19]
                0.00    0.00     427/427         tdroid_719::bg_calc() [60]
                0.00    0.00    2578/2578        tdroid_513::attack() [61]
                0.00    0.00       1/11          sound_cmd_simple [51]
                0.00    0.00   25841/36702       tdroid_108::bg_calc() [159]
                0.00    0.00    2639/2639        tdroid_805::attack() [169]
                0.00    0.00    2578/2578        tfloor::bg_calc() [170]
                0.00    0.00       4/16          tdroid::display_nd() [201]
                0.00    0.00       4/96          console_message_add [80]
-----------------------------------------------
                0.00    0.00    5568/5568        game_run_draw() [4]
[25]     1.5    0.00    0.00    5568         tship::level_check_event() [25]
                0.00    0.00     173/173         tparadroid::action(tkevent*) [28]
                0.00    0.00       5/21          sound_cmd_primary [46]
                0.00    0.00       4/11          sound_cmd_simple [51]
                0.00    0.00       4/6           sound_cmd_snoise [54]
                0.00    0.00       1/222         sound_cmd [19]
                0.00    0.00    5742/14613       get_kb_event [67]
                0.00    0.00       4/141         tentity::init(tfloor*, bm_t*, tentity**, int, float, float) [178]
